Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
1350.000000000| 236.145120000| 55.675728971| 12.584239253| 3.900000095| 38.200000763| 0.600000024| 16| 2| 154405.000000000| 0| 1.991618872
1360.000000000| 237.507130000| 55.675694476| 12.584386528| 4.000000000| 38.200000763| 0.600000024| 15| 2| 154407.000000000| 0| 1.969547153
1370.000000000| 238.710630000| 55.675660214| 12.584534185| 4.099999905| 38.200000763| 0.600000024| 15| 2| 154408.000000000| 0| 1.950072050
1380.000000000| 239.866630000| 55.675626783| 12.584682515| 4.300000191| 38.200000763| 0.699999988| 15| 2| 154409.000000000| 0| 1.953695297
1390.000000000| 240.943060000| 55.675593502| 12.584831517| 4.400000095| 38.200000763| 0.600000024| 15| 2| 154410.000000000| 0| 1.944277644
1400.000000000| 241.933530000| 55.675559909| 12.584979334| 4.400000095| 38.200000763| 0.600000024| 15| 2| 154411.000000000| 0| 1.959846616
1410.000000000| 242.875870000| 55.675525019| 12.585126106| 4.500000000| 38.200000763| 0.600000024| 16| 2| 154412.000000000| 0| 1.977105141
1420.000000000| 243.782950000| 55.675490265| 12.585272799| 4.599999905| 38.200000763| 0.600000024| 16| 2| 154413.000000000| 0| 1.960955620
1430.000000000| 244.661380000| 55.675455823| 12.585420006| 4.800000191| 38.200000763| 0.600000024| 16| 2| 154414.000000000| 0| 1.967412591
1440.000000000| 245.526700000| 55.675421568| 12.585568255| 5.000000000| 38.200000763| 0.600000024| 16| 2| 154415.000000000| 0| 1.942532063
1450.000000000| 246.381820000| 55.675388605| 12.585718081| 5.300000191| 38.200000763| 0.600000024| 16| 2| 154416.000000000| 0| 1.964572072
1460.000000000| 247.222460000| 55.675353562| 12.585865290| 5.300000191| 38.200000763| 0.600000024| 16| 2| 154416.000000000| 0| 1.975724816
1470.000000000| 248.064700000| 55.675318437| 12.586011561| 5.699999809| 38.200000763| 0.699999988| 15| 2| 154417.000000000| 0| 1.975103498
1480.000000000| 248.921830000| 55.675282594| 12.586158550| 5.900000095| 38.200000763| 0.699999988| 15| 2| 154418.000000000| 0| 1.980433226
1490.000000000| 249.797070000| 55.675248406| 12.586305565| 6.199999809| 38.200000763| 0.800000012| 14| 2| 154419.000000000| 0| 1.957625031
1500.000000000| 250.702070000| 55.675210048| 12.586448961| 6.699999809| 38.200000763| 0.899999976| 12| 2| 154420.000000000| 0| 2.093632221
1510.000000000| 251.640270000| 55.675158433| 12.586579134| 7.000000000| 38.200000763| 0.899999976| 12| 2| 154421.000000000| 0| 2.272994757
1520.000000000| 252.582180000| 55.675095641| 12.586693880| 7.199999809| 38.200000763| 0.699999988| 13| 2| 154422.000000000| 0| 2.396312237
1530.000000000| 253.506670000| 55.675029184| 12.586801789| 7.400000095| 38.200000763| 0.699999988| 13| 2| 154423.000000000| 0| 2.390317440
1540.000000000| 254.408180000| 55.674964211| 12.586908767| 7.599999905| 38.200000763| 0.699999988| 13| 2| 154424.000000000| 0| 2.400690794
1550.000000000| 255.282290000| 55.674898498| 12.587015390| 7.599999905| 38.200000763| 0.699999988| 13| 2| 154424.000000000| 0| 2.400483847
1560.000000000| 256.140820000| 55.674831317| 12.587122733| 7.900000095| 38.200000763| 0.600000024| 15| 2| 154425.000000000| 0| 2.410393238
1570.000000000| 257.014130000| 55.674762605| 12.587230932| 8.100000381| 38.200000763| 0.600000024| 15| 2| 154426.000000000| 0| 2.415047884
1580.000000000| 257.915230000| 55.674695167| 12.587338825| 8.199999809| 38.200000763| 0.600000024| 15| 2| 154427.000000000| 0| 2.402812481
1590.000000000| 258.827720000| 55.674629231| 12.587446578| 8.100000381| 38.200000763| 0.600000024| 16| 2| 154428.000000000| 0| 2.390413761
1600.000000000| 259.750230000| 55.674563232| 12.587556072| 7.900000095| 38.200000763| 0.600000024| 16| 2| 154429.000000000| 0| 2.391342878
1610.000000000| 260.694550000| 55.674496572| 12.587665761| 7.599999905| 38.200000763| 0.600000024| 16| 2| 154430.000000000| 0| 2.391982794
1620.000000000| 261.742770000| 55.674429845| 12.587775104| 7.400000095| 38.200000763| 0.600000024| 17| 2| 154431.000000000| 0| 2.403375149
1630.000000000| 262.930340000| 55.674363455| 12.587882872| 7.000000000| 38.200000763| 0.600000024| 16| 2| 154432.000000000| 0| 2.393358469
1640.000000000| 264.435540000| 55.674295332| 12.587994599| 6.599999905| 38.200000763| 0.600000024| 17| 2| 154434.000000000| 0| 2.377787590
1650.000000000| 267.338370000| 55.674226259| 12.588105697| 6.500000000| 38.200000763| 0.600000024| 16| 2| 154437.000000000| 0| 2.373697519
1660.000000000| 273.027880000| 55.674149951| 12.588206983| 6.500000000| 38.200000763| 0.600000024| 17| 2| 154442.000000000| 0| 2.463768005
1670.000000000| 276.333710000| 55.674082339| 12.588304826| 6.500000000| 38.200000763| 0.600000024| 17| 2| 154446.000000000| 0| 2.439263344
1680.000000000| 277.811400000| 55.674015576| 12.588408191| 6.599999905| 38.200000763| 0.600000024| 17| 2| 154447.000000000| 0| 2.396928310
1690.000000000| 279.049200000| 55.673948330| 12.588516308| 6.500000000| 38.200000763| 0.600000024| 17| 2| 154448.000000000| 0| 2.412944078
1700.000000000| 280.208510000| 55.673879447| 12.588620899| 6.400000095| 38.200000763| 0.600000024| 17| 2| 154449.000000000| 0| 2.441364050
1710.000000000| 281.309600000| 55.673808226| 12.588721830| 6.300000191| 38.200000763| 0.600000024| 15| 2| 154451.000000000| 0| 2.430089474
1720.000000000| 282.389120000| 55.673740003| 12.588826550| 6.300000191| 38.200000763| 0.699999988| 14| 2| 154452.000000000| 0| 2.394304991
1730.000000000| 283.479200000| 55.673672213| 12.588934540| 6.099999905| 38.200000763| 0.699999988| 14| 2| 154453.000000000| 0| 2.454530478
1740.000000000| 284.632830000| 55.673601504| 12.589038922| 6.099999905| 38.200000763| 0.699999988| 14| 2| 154454.000000000| 0| 2.414163113
1750.000000000| 285.884400000| 55.673536720| 12.589149799| 6.099999905| 38.200000763| 0.600000024| 15| 2| 154455.000000000| 0| 2.327174902
1760.000000000| 287.173340000| 55.673474681| 12.589266276| 6.000000000| 38.200000763| 0.699999988| 14| 2| 154456.000000000| 0| 2.320723295
1770.000000000| 288.501780000| 55.673412673| 12.589383115| 5.599999905| 38.200000763| 0.699999988| 13| 2| 154458.000000000| 0| 2.341023922
