,speed_gm,times
511,44.81,1621497154.312
512,44.82,1621497154.3209999
513,44.8,1621497154.332
514,44.82,1621497154.352
515,44.83,1621497154.372
516,44.84,1621497154.392
517,44.85,1621497154.412
518,44.85,1621497154.432
519,44.88,1621497154.452
520,44.88,1621497154.472
521,44.87,1621497154.492
522,44.89,1621497154.512
523,44.84,1621497154.527
524,44.89,1621497154.532
525,44.89,1621497154.552
526,44.89,1621497154.572
527,44.89,1621497154.592
528,44.89,1621497154.612
529,44.88,1621497154.632
530,44.91,1621497154.652
531,44.89,1621497154.672
532,44.89,1621497154.692
533,44.89,1621497154.712
534,44.85,1621497154.727
535,44.89,1621497154.732
536,44.91,1621497154.752
537,44.91,1621497154.772
538,44.93,1621497154.792
539,44.92,1621497154.812
540,44.93,1621497154.831
541,44.93,1621497154.852
542,44.94,1621497154.871
543,44.94,1621497154.892
544,44.94,1621497154.912
545,44.84,1621497154.924
546,44.94,1621497154.932
547,44.94,1621497154.951
548,44.94,1621497154.972
549,44.93,1621497154.992
550,44.98,1621497155.111
551,44.93,1621497155.124
552,44.99,1621497155.132
553,44.99,1621497155.151
554,45.0,1621497155.171
555,45.0,1621497155.191
556,45.01,1621497155.211
557,45.01,1621497155.231
558,45.01,1621497155.2510002
559,45.01,1621497155.2710001
560,45.02,1621497155.2910001
561,45.02,1621497155.311
562,44.94,1621497155.318
563,45.01,1621497155.331
564,45.01,1621497155.351
565,45.02,1621497155.371
566,45.02,1621497155.392
567,45.04,1621497155.411
568,45.04,1621497155.431
569,45.04,1621497155.451
570,45.05,1621497155.471
571,45.04,1621497155.4910002
572,45.04,1621497155.5110002
573,44.93,1621497155.52
574,45.04,1621497155.5310001
575,45.05,1621497155.551
576,45.05,1621497155.571
577,45.06,1621497155.591
578,45.07,1621497155.611
579,45.07,1621497155.631
580,45.08,1621497155.651
581,45.08,1621497155.671
582,45.08,1621497155.691
583,45.1,1621497155.711
584,44.94,1621497155.72
585,45.11,1621497155.731
586,45.11,1621497155.7510002
587,45.11,1621497155.7710001
588,45.11,1621497155.7910001
589,45.1,1621497155.811
